,artist,track,position,date
29433,"Wale Featuring Rick Ross, Meek Mill & T-Pain",Bag Of Money,25,2012-06-02
29458,Rick Ross Featuring Usher,Touch'N You,25,2012-06-09
29483,2 Chainz Featuring Drake,No Lie,25,2012-06-16
29508,Chris Brown Featuring Big Sean & Wiz Khalifa,Till I Die,25,2012-06-23
29532,Lil Wayne Featuring Big Sean,My Homies Still,24,2012-06-30
29556,Meek Mill Featuring Drake,Amen,23,2012-07-07
29582,Driicky Graham,Snap Backs & Tattoos,24,2012-07-14
29632,Tyga,Make It Nasty,24,2012-07-28
29655,Flo Rida,Whistle,22,2012-08-04
29656,"French Montana Featuring Rick Ross, Drake, Lil Wayne",Pop That,23,2012-08-04
29681,Future,Turn On The Lights,23,2012-08-11
29683,Chief Keef Featuring Lil Reese,I Don't Like,25,2012-08-11
29706,DJ Khaled Featuring Kanye West & Rick Ross,I Wish You Would,23,2012-08-18
29732,Birdman Featuring Rick Ross,Born Stunna,24,2012-08-25
29755,2 Chainz Featuring Kanye West,Birthday Song,22,2012-09-01
29757,50 Cent Featuring Dr. Dre & Alicia Keys,New Day,24,2012-09-01
29782,Juicy J Featuring Lil Wayne & 2 Chainz,Bandz A Make Her Dance,24,2012-09-08
29805,Kendrick Lamar,Swimming Pools (Drank),22,2012-09-15
29830,"DJ Drama, 2 Chainz, Meek Mill, Jeremih",My Moment,22,2012-09-22
29832,T.I.,Go Get It,24,2012-09-22
29833,Rick Ross Featuring Wale & Drake,Diced Pineapples,25,2012-09-22
29848,"Kanye West, Jay-Z, Big Sean",Clique,15,2012-09-29
29880,Lil Wayne Featuring Detail,No Worries,22,2012-10-06
29903,PSY,Gangnam Style,20,2012-10-13
29904,"Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne",Celebration,21,2012-10-13
29921,Kid Cudi Featuring King Chip,Just What I Am,13,2012-10-20
29928,Wiz Khalifa Featuring The Weeknd,Remember You,20,2012-10-20
29929,Macklemore & Ryan Lewis Featuring Wanz,Thrift Shop,21,2012-10-20
29930,Meek Mill Featuring Kirko Bangz,Young & Gettin' It,22,2012-10-20
29931,Pitbull Featuring TJR,Don't Stop The Party,23,2012-10-20
29932,"Kanye West, R. Kelly",To The World,24,2012-10-20
29933,Tyga Featuring 2 Chainz,Do My Dance,25,2012-10-20
29953,Ludacris Featuring Kelly Rowland,Representin',20,2012-10-27
29958,2 Chainz,I'm Different,25,2012-10-27
29968,T.I. Featuring Lil Wayne,Ball,10,2012-11-03
29997,Kendrick Lamar Featuring Drake,Poetic Justice,14,2012-11-10
30001,Kendrick Lamar Featuring MC Eiht,m.A.A.d City,18,2012-11-10
30005,Kendrick Lamar,Backseat Freestyle,22,2012-11-10
30006,Kendrick Lamar,"Bitch, Don't Kill My Vibe",23,2012-11-10
30022,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",F**kin Problems,14,2012-11-17
30031,Big Sean,Guap,23,2012-11-17
30056,Nicki Minaj,Freedom,23,2012-11-24
30133,Future,Neva End,25,2012-12-15
30154,Wiz Khalifa Featuring Akon,Let It Go,21,2012-12-22
30177,Chief Keef,Love Sosa,19,2012-12-29
30183,Trinidad James,All Gold Everything,25,2012-12-29
30207,Kid Cudi,King Wizard,24,2013-01-05
30257,Lupe Fiasco & Guy Sebastian,Battle Scars,24,2013-01-19
30281,B.o.B Featuring T.I. & Juicy J,We Still In This B****,23,2013-01-26
30295,Lil Wayne Featuring Drake & Future,Love Me,12,2013-02-02
30303,A$AP Rocky Featuring Skrillex & Birdy Nam Nam,Wild For The Night,20,2013-02-02
30304,A$AP Rocky,Long Live A$AP,21,2013-02-02
