,artist,track,position,date
2008,AMG,Slow Down,19,1991-06-01
2010,3rd Bass,Bitch Betta Have My Money,21,1991-06-01
2012,Definition Of Sound,Pop Goes The Weasel,23,1991-06-01
2030,Definition Of Sound,Lovesick,18,1991-06-08
2032,Ice-T,Now Is Tomorrow,20,1991-06-08
2034,Gerardo,O.G. Original Gangster,22,1991-06-08
2056,ED O.G & DA Bulldogs,We Want The Funk,21,1991-06-15
2079,The Dogs Feat. Disco Rick,The Chubbster,21,1991-06-22
2080,K.M.D.,Summertime,22,1991-06-22
2081,Buffalo Soldiers,Do The Nasty Dance,23,1991-06-22
2100,Nikki D,Ain't No Future In Yo' Fronting,19,1991-06-29
2116,Gang Starr,I Shouldn't Have Done It,13,1991-07-06
2118,Main Source,Sugar Free,15,1991-07-06
2119,Heavy D & The Boyz,Just Hangin' Out,16,1991-07-06
2120,K.M.D.,Now That We Found Love,17,1991-07-06
2122,EPMD Featuring L.L. Cool J,Who Me?,19,1991-07-06
2125,Gerardo,Get Ready To Roll,22,1991-07-06
2126,Craig-G,"Bang (Get Down, Get Down)",23,1991-07-06
2144,K.M.D.,Tonite,18,1991-07-13
2149,Jibri Wise One,6 Minutes Of Pleasure,23,1991-07-13
2168,LL Cool J,How Kool Can One Black Man Be,19,1991-07-20
2171,K.M.D.,The House The Dog Built,22,1991-07-20
2190,K.M.D.,Growin' Up In The Hood,18,1991-07-27
2192,The Dogs Feat. Disco Rick,It's Hard Being The Kane,20,1991-07-27
2195,Fifth Platoon,It's A Love Thang,23,1991-07-27
2196,Larry Larr,Party Line,24,1991-07-27
2236,Rodney O & Joe Cooley,If You Wanna Sex Me Up,17,1991-08-10
2241,Young Black Teenagers,Get Bizzy,22,1991-08-10
2256,Big Daddy Kane,O.P.P.,15,1991-08-17
2260,Son Of Bazerk,What Comes Around Goes Around,19,1991-08-17
2261,Justin Warfield,F-ck Compton,20,1991-08-17
2262,Rodney O & Joe Cooley,Sobb Story,21,1991-08-17
2281,3rd Bass,Ain't Nobody Better,18,1991-08-24
2285,Rodney O & Joe Cooley,Season Of The Vic,22,1991-08-24
2305,Larry Larr,Mind Playing Tricks On Me,20,1991-08-31
2327,Nice & Smooth,Confused,20,1991-09-07
2346,Hi-C,Hip Hop Junkies,17,1991-09-14
2348,Latin Alliance,Turn It Up,19,1991-09-14
2349,LL Cool J,I'm Not Your Puppet,20,1991-09-14
2365,Oaktown's 3.5.7,Flavor Of The Month,15,1991-09-21
2367,Redhead Kingpin,Definition Of A King,17,1991-09-21
2368,Salt-N-Pepa,Low Rider (On The Boulevard),18,1991-09-21
2388,Hi-C,Let's Talk About Sex,17,1991-09-28
2389,Def Jef,Heal Yourself,18,1991-09-28
2405,Def Jef,When In Love,15,1991-10-05
2408,Jibri Wise One,A Groove (This Is What U Rap 2),18,1991-10-05
2409,Above The Law,Here We Go Again,19,1991-10-05
2410,The 2 Live Crew,Ain't Gonna Hurt Nobody,20,1991-10-05
2421,Salt-N-Pepa,Check The Rhime,11,1991-10-12
2424,Latin Alliance,Blue Cheese,14,1991-10-12
2429,Def Jef,Pop That Coochie,19,1991-10-12
2431,Queen Latifah,Glory,21,1991-10-12
2439,Public Enemy,Can't Truss It,8,1991-10-19
2468,Queen Latifah,Step In The Arena,16,1991-10-26
2470,Cypress Hill,I Wanna B Ure Lover,18,1991-10-26
2471,Def Jef,Fly Girl,19,1991-10-26
2472,Marley Marl,You Want Bass,20,1991-10-26
2473,Yo-Yo,4 The Funk of It,21,1991-10-26
2490,Queen Latifah,The Symphony Pt. II,17,1991-11-02
2491,Above The Law,The Phuncky Feel One/How I Could. . .,18,1991-11-02
2513,Digital Underground,Is It Good To You,19,1991-11-09
2515,D-Nice,Kiss You Back,21,1991-11-09
2533,Nice & Smooth,Just The Two Of Us,18,1991-11-16
2535,Digital Underground,Straight Checkn' Em,20,1991-11-16
2537,D-Nice,Lil Trig,22,1991-11-16
2538,Def Jef,25 Ta Life,23,1991-11-16
2560,D-Nice,1-800-Sky-Talk PIN #110279,22,1991-11-23
2562,Def Jef,Shakiyla (JRH),24,1991-11-23
2581,Black Sheep,I'll Be There For You,19,1991-11-30
2585,Salt-N-Pepa,2 Legit 2 Quit,23,1991-11-30
2605,Big Daddy Kane,Be A Father To Your Child,19,1991-12-07
2606,M.C. Hammer,Groove With It,20,1991-12-07
2608,Naughty By Nature,Wildside,22,1991-12-07
2610,Yomo & Maulkie,Portrait Of The Artist As A Hood,24,1991-12-07
2634,Naughty By Nature,Be True To Yourself,24,1991-12-14
2656,MC Lyte,Mr. Scarface,22,1991-12-21
2701,Geto Boys,The Choice Is Yours,19,1992-01-04
2703,The 2 Live Crew,Steady Mobbin',21,1992-01-04
2724,A Tribe Called Quest,Just Kickin' It,19,1992-01-11
2743,Public Enemy,How To Flow,16,1992-01-18
2746,Heavy D & The Boyz,Poor Georgie,19,1992-01-18
2747,Del The Funky Homosapien,Latifah's Had It Up 2 Here,20,1992-01-18
2749,Geto Boys,Mistadobalina,22,1992-01-18
2766,Naughty By Nature,Everything's Gonna Be Alright,17,1992-01-25
2770,Public Enemy,What's On Your Mind,21,1992-01-25
2771,D-Nice,Oochie Coochie,22,1992-01-25
2791,D-Nice,Time To Flow,19,1992-02-01
2793,Eric B. & Rakim,All For One,21,1992-02-01
2796,A Tribe Called Quest,Fire & Earth,24,1992-02-01
2815,Eric B. & Rakim,Shut 'Em Down,19,1992-02-08
2839,Sir Mix-A-Lot,Jazz (We've Got),19,1992-02-15
2840,Fu-Schnickens,One Time's Got No Case,20,1992-02-15
2841,Eric B. & Rakim,Ring The Alarm,21,1992-02-15
2843,Lord Finesse,The Int'l Zone Coaster,23,1992-02-15
2844,Jibri Wise One,Return Of The Funky Man,24,1992-02-15
2860,Fu-Schnickens,The Jam,16,1992-02-22
2866,Brand Nubian,Step To Me,22,1992-02-22
2890,A Tribe Called Quest,Duck Down,22,1992-02-29
2892,Eric B. & Rakim,Jiggable Pie,24,1992-02-29
2912,Luke,Juice (Know The Ledge),20,1992-03-07
2913,True Culture,I Wanna Rock,21,1992-03-07
2914,AMG,"It's So Good, It's Bad",22,1992-03-07
2938,True Culture,One To Grow On,22,1992-03-14
2959,Cypress Hill,Helluva,20,1992-03-21
2961,True Culture,Hand On The Pump,22,1992-03-21
2983,2Pac,Jump,20,1992-03-28
2984,Chi-Ali,Brenda's Got A Baby/If My Homie Calls,21,1992-03-28
2985,Lord Finesse,Age Ain't Nothin' But A #,22,1992-03-28
3009,Das EFX,Tennessee,22,1992-04-04
3010,Sir Mix-A-Lot,If You Were Mine,23,1992-04-04
3026,Arrested Development,They Want EFX,16,1992-04-11
3031,Naughty By Nature,Victim Of The Ghetto,21,1992-04-11
3033,Lil' Shawn,Baby Got Back,23,1992-04-11
3034,Del The Funky Homosapien,Hickeys On Your Chest,24,1992-04-11
3054,MC Lyte,If You Want It,20,1992-04-18
3056,Black Sheep,Sometimes I Rhyme Slow,22,1992-04-18
3058,Ghetto Girlz,A Minute To Pray And A Second To Die,24,1992-04-18
3079,Ghetto Girlz,Scenario,21,1992-04-25
3080,M.C. Brains,My Man's Playing Tricks On Me,22,1992-04-25
3082,Sister Souljah,Nighttrain,24,1992-04-25
3102,Public Enemy,Night Shift,20,1992-05-02
3105,Ghetto Girlz,The Hate That Hate Produced,23,1992-05-02
3126,Shabba Ranks Featuring KRS-1,They Reminisce Over You (T.R.O.Y.),20,1992-05-09
3128,Sister Souljah,13 And Good,22,1992-05-09
3151,Dr. Dre Introducing Snoop Doggy Dogg,Take It Personal,21,1992-05-16
3152,Doug E. Fresh,Deep Cover,22,1992-05-16
3153,Hi-C Featuring Tony A,Bustin' Out (On Funk),23,1992-05-16
3154,AMG,Sitting In The Park,24,1992-05-16
3174,Fu-Schnickens,La Schmoove,20,1992-05-23
3178,Sylk Smoov,Trick Wit A Good Rap,24,1992-05-23
3179,The Future Sound,Lady/What's A Bro To Do?,25,1992-05-23
3204,Keith Sweat Feat. L.L. Cool J,Why Me Baby? (Pt. 2),25,1992-05-30
3223,Heavy D & The Boyz,Don't Curse/You Can't See What I See,19,1992-06-06
3227,Penthouse Players Clique,Explanation Of A Playa,23,1992-06-06
3228,M.C. Brains,Everybody's Talking About M.C. Brains,24,1992-06-06
3253,Black Sheep,Strobelite Honey,24,1992-06-13
3254,Kid Frost,No Sunshine,25,1992-06-13
3275,Organized Konfusion,Walk Into The Sun,21,1992-06-20
3279,Tim Dog,Bronx Nigga,25,1992-06-20
3295,Kris Kross,Warm It Up,16,1992-06-27
3302,Kwame,Nastee,23,1992-06-27
3304,M.C. Breed,Ain't To Be F...ed With,25,1992-06-27
3325,Yo-Yo,Home Girl Don't Play Dat,21,1992-07-04
3328,Ultramagnetic MC's,Poppa Large,24,1992-07-04
3341,Eric B. & Rakim,Don't Sweat The Technique,12,1992-07-11
3351,Main Source,Fakin' The Funk,22,1992-07-11
3352,House Of Pain,Jump Around,23,1992-07-11
3354,Too $hort,I Want To Be Free,25,1992-07-11
3378,N2Deep,Back To The Hotel,24,1992-07-18
3398,Kid Frost,Thin Line,19,1992-07-25
3403,Spice 1,Welcome To The Ghetto,24,1992-07-25
3404,Chi-Ali,Roadrunner,25,1992-07-25
3423,EPMD,Crossover,19,1992-08-01
3424,Monie Love,"Full Term Love (From ""Class Act"")",20,1992-08-01
3426,DJ Quik,Jus Lyke Compton,22,1992-08-01
3428,K-Solo,I Can't Hold Back,24,1992-08-01
3429,Beastie Boys,So What'cha Want,25,1992-08-01
3450,Super Cat,Ghetto Red Hot,21,1992-08-08
3452,A.D.O.R.,Let It All Hang Out,23,1992-08-08
3473,Das EFX,Mic Checka,19,1992-08-15
3474,Miles Davis,The Doo-Bop Song,20,1992-08-15
3476,XClan,Xodus,22,1992-08-15
3477,Raheem,5th Ward,23,1992-08-15
3498,Grand Puba,360 Degrees (What Goes Around),19,1992-08-22
3499,Da Youngsta's,Pass Da Mic,20,1992-08-22
3502,The College Boyz,Hollywood Paradox,23,1992-08-22
3504,Ho Frat Ho!,Ho Frat Swing,25,1992-08-22
3516,Arrested Development,People Everyday,12,1992-08-29
3528,M.C. Brains,Brainstorming/G-String,24,1992-08-29
3550,MC Serch,Here It Comes/Back To The Grill,21,1992-09-05
3553,Luke,Breakdown,24,1992-09-05
3574,Bushwick Bill,Ever So Clear,20,1992-09-12
3578,Double XX,Head Cracker,24,1992-09-12
3579,Highland Place Mobsters,Let's Get Naked,25,1992-09-12
3597,Gang Starr,Ex Girl To The Next Girl,18,1992-09-19
3602,Zhigge,Toss It Up,23,1992-09-19
3603,Brothers Uv Da Blakmarket,Livin' In Da Bottle,24,1992-09-19
3604,M.C. Breed,Ain't Too Much Worried,25,1992-09-19
3625,Redman,Blow Your Mind,21,1992-09-26
3628,Nice & Smooth,Cake & Eat It Too,24,1992-09-26
3646,Chubb Rock,Lost In The Storm,17,1992-10-03
3652,Willie D,Clean Up Man,23,1992-10-03
3653,MC Ren,The Final Frontier,24,1992-10-03
3668,Wreckx-N-Effect,Rump Shaker,14,1992-10-10
3675,Brothers Uv Da Blakmarket,Best Kept Secret,21,1992-10-10
3677,Prince Markie Dee & Soul Convention,Latin Lingo,23,1992-10-10
3678,Nice & Smooth,Trippin' Out,24,1992-10-10
3697,Super Cat,Lonely Monday Morning,19,1992-10-17
3700,Lords Of The Underground,Hazy Shade Of Criminal,22,1992-10-17
3701,Kris Kross,Psycho/Check It,23,1992-10-17
3702,House Of Pain,I Missed The Bus,24,1992-10-17
3723,Compton's Most Wanted,Straighten It Out,21,1992-10-24
3724,Yo-Yo,Hood Took Me Under,22,1992-10-24
3725,EPMD,Black Pearl,23,1992-10-24
3745,Lords Of The Underground,Not Gonna Be Able To Do It,19,1992-10-31
3771,Common Sense,True Fuschnick,21,1992-11-07
3772,M.C. Breed,Take It Ez,22,1992-11-07
3774,Home Team,Flex,24,1992-11-07
3797,BDP,Pick It Up,23,1992-11-14
3798,The College Boyz,We In There,24,1992-11-14
3820,Brand Nubian,Wicked,22,1992-11-21
3821,Lords Of The Underground,Punks Jump Up To Get Beat Down,23,1992-11-21
3841,Grand Puba,I Got A Man,19,1992-11-28
3843,Arrested Development,Humpin',21,1992-11-28
3846,Public Enemy,Casualties Of War,24,1992-11-28
3869,Fu-Schnickens,In The Trunk,23,1992-12-05
3886,Cypress Hill,Letterman,16,1992-12-12
3888,EPMD,Straight Out The Sewer,18,1992-12-12
3889,Grand Puba,Head Banger,19,1992-12-12
3892,Miles Davis,Fat Pockets,22,1992-12-12
3893,South Central Cartel,Fantasy,23,1992-12-12
3894,Too $hort,Papa Was A Rolling Stone,24,1992-12-12
3912,Digable Planets,Ice Cream Dream,18,1992-12-19
3913,Showbiz & A.G.,Rebirth Of Slick (Cool Like Dat),19,1992-12-19
3917,Cypress Hill,Dem No Worry We,23,1992-12-19
3939,South Central Cartel,Informer,21,1992-12-26
3942,Success-N-Effect,Revolution,24,1992-12-26
3984,Lighter Shade Of Brown,Homies,18,1993-01-09
3989,Success-N-Effect,Ultimate Drive-By,23,1993-01-09
4008,Young Black Teenagers,Tap The Bottle,18,1993-01-16
4009,Apache,Gangsta Bitch,19,1993-01-16
4015,Heavy D & The Boyz,Who's The Man?,25,1993-01-16
4028,Arrested Development,Mr. Wendal,13,1993-01-23
4037,Nasty Nas,Half Time,22,1993-01-23
4039,Rough House Survivers,Check Da Backpack,24,1993-01-23
4040,Shabba Ranks,Ting-A-Ling,25,1993-01-23
4065,Da Lench Mob,Freedom Got An A.K.,25,1993-01-30
4087,XClan,A.D.A.M.,22,1993-02-06
4088,Y'all So Stupid,85 South,23,1993-02-06
4089,Onyx,Throw Your Gunz,24,1993-02-06
4090,Paperboy,Ditty,25,1993-02-06
4104,Dr. Dre,"Nuthin' But A ""G"" Thang",14,1993-02-13
4106,Naughty By Nature,Hip Hop Hooray,16,1993-02-13
4111,Chubb Rock,Yabadabadoo,21,1993-02-13
4112,Grand Puba,Check It Out,22,1993-02-13
4115,Heather B.,I Get Wreck,25,1993-02-13
4133,Chaka Demus & Pliers,Murder She Wrote,18,1993-02-20
4138,C.E.B.,Get The Point,23,1993-02-20
4139,Kris Kross,It's A Shame,24,1993-02-20
4140,Redman,Time 4 Sum Aksion,25,1993-02-20
4164,Zhigge,Rakin' In The Dough,24,1993-02-27
4165,Above The Law,V.S.O.P,25,1993-02-27
4189,Da King & I,Flip Da Script,24,1993-03-06
4190,Louie Rankin,Typewriter,25,1993-03-06
4209,Chi-Ali,Funky Lemonade,19,1993-03-13
4210,Lords Of The Underground,Funky Child,20,1993-03-13
4211,Geto Boys,Crooked Officer,21,1993-03-13
4213,Common Sense,Breaker 1/9,23,1993-03-13
4214,Shawnie Ranks,Gettin It On,24,1993-03-13
4232,Da King & I,Sally Got A One Track Mind,17,1993-03-20
4236,Common Sense,Born 2 B.R.E.E.D.,21,1993-03-20
