,Unnamed: 0,Unnamed: 0.1,artist,track,position,date,lyrics,genius_artist
262,665,6246,Terror Fabulous Featuring Nadine Sutherland,Action,22,1994-08-13,NaN,Action Bronson
263,669,6299,"Sam ""The Beast""",Gucci Dance Live,25,1994-08-27,NaN,Genius Users
264,671,6347,Mic Geronimo,It's Real,23,1994-09-10,NaN,Cadence Weapon
266,681,6448,Dis `N' Dat,Party,24,1994-10-08,NaN,PARTYNEXTDOOR
268,697,6593,Michael Wall Love Foundation,Love Song,19,1994-11-19,NaN,Kollegah
269,701,6623,Bossman And The Blakjak,Much Love,24,1994-11-26,NaN,LCD Soundsystem
270,707,6699,Paris,Guerrilla Funk,25,1994-12-17,NaN,Paris (Rapper)
271,709,6730,Craig Mack,Get Down,6,1994-12-31,NaN,Ezekiel (The Get Down)
272,711,6749,D.J. Trans,Ride Out,25,1994-12-31,NaN,Mil
274,715,6798,Vicious,Nika,24,1995-01-14,NaN,Marsino
275,718,6814,Way 2 Real,Tha Butterfly,15,1995-01-21,NaN,Validex
276,719,6823,95 South,Rodeo,24,1995-01-21,NaN,Travis Scott
277,720,6836,Capleton,Tour,12,1995-01-28,NaN,Keny Arkana
280,725,6922,Shaquille O'Neal Feat. Prince Rakeem The RZA & Method Man,No Hook,23,1995-02-18,NaN,Tay 600
282,727,6929,Bone Thugs-N-Harmony Featuring Eazy-E,Foe The Love Of $,5,1995-02-25,NaN,Larry Wall
283,733,6984,Scarface Feat. Ice Cube,People Don't Believe,10,1995-03-11,NaN,K-Rino
286,739,7071,DJ Smurf And P.M.H.I.,Ooh Lawd (Party People),22,1995-04-01,NaN,Beastie Boys
287,741,7097,"Dis `N' Dat Feat. 95 South,69 Boyz & K-Nock",Freak Me Baby,23,1995-04-08,NaN,Another Level
288,742,7121,H.M.H.,Boo-Tee Bounce,22,1995-04-15,NaN,Avelino
289,743,7124,Dana Dane,Rollin' Wit Dane,25,1995-04-15,NaN,LîL hØllÖw
293,751,7219,Scarface,Among The Walking Dead,20,1995-05-13,NaN,Dr. Faustus
295,762,7322,Mentally Disturbed,Lollipop,23,1995-06-10,NaN,2NE1
296,763,7340,Various Artists,The Points,16,1995-06-17,NaN,Denzel Curry
298,769,7397,Buju Banton,Champion,23,1995-07-01,NaN,Chip
299,772,7451,Shaggy,Boombastic/In The Summertime,2,1995-07-22,NaN,Jan Delay
301,776,7517,Onyx,"Live!!! (From ""The Show"")",18,1995-08-05,NaN,William James
302,778,7524,Playa Poncho Featuring L.A. Sno,"Whatz Up, Whatz Up",25,1995-08-05,NaN,Tokyo Vanity
304,780,7555,Coolio Featuring L.V.,"Gangsta's Paradise (From ""Dangerous Minds"")",6,1995-08-19,NaN,Justin Simien
305,783,7591,M.C. Hammer Featuring VMF,Sultry Funk,17,1995-08-26,NaN,Homeboy Sandman
307,788,7647,Lil' Shawn,Dom Perignon,23,1995-09-09,NaN,Jungle Kidz
309,790,7649,Doug E. Fresh,Where's Da Party At?,25,1995-09-09,NaN,Brian Fresco
310,791,7663,Crooklyn Dodgers '95,"Return Of The Crooklyn Dodgers (From ""Clockers"")",14,1995-09-16,NaN,NaN
311,792,7674,Twinz,Round & Round,25,1995-09-16,NaN,Far East Movement
312,802,7765,Blahzay Blahzay,Danger,16,1995-10-14,NaN,Big Data
313,803,7774,The Pharcyde,Drop/Runnin',25,1995-10-14,NaN,The Hollies
315,808,7822,Frost,East Side Rendezvous,23,1995-10-28,NaN,N.W.A
316,810,7853,The Click,Hurricane,4,1995-11-11,NaN,Thrice
317,811,7854,Method Man,"The Riddler (From ""Batman Forever"")",5,1995-11-11,NaN,Richard F. Burton
327,832,8192,Erick Sermon,Welcome,18,1996-02-10,NaN,DJ Khaled
329,841,8272,Rappin' 4-Tay,Ain't No Playa,23,1996-03-02,NaN,Passion (rapper)
330,843,8281,Busta Rhymes,Woo-Hah!! Got You All In Check/Everything Remains Raw,7,1996-03-09,NaN,O. Henry
331,845,8295,Kilo,Nasty Dancer/White Horse,21,1996-03-09,NaN,Dirt Nasty
332,847,8305,MC Lyte Featuring Xscape,"Keep On, Keepin' On (From ""Sunset Park"")",6,1996-03-16,NaN,H.G. Wells
333,848,8307,Fat Joe,Envy/Firewater,8,1996-03-16,NaN,William Hazlitt
334,850,8324,The Conscious Daughters,Gamers,25,1996-03-16,NaN,Marcus Nyman
336,852,8355,Lost Boyz,"Renee (From ""Don't Be A Menace..."")",6,1996-03-30,NaN,Herman Melville
338,856,8395,Smoothe Da Hustler,Hustler's Theme,21,1996-04-06,NaN,Pat Battle
340,858,8435,Luke,"Scarred (From ""Eddie"")",11,1996-04-20,NaN,Cassidy
341,861,8470,69 Boyz Featuring Quad City DJ's,"Hoop In Yo Face (From ""Sunset Park"")",21,1996-04-27,NaN,Boogey
