,Unnamed: 0,Unnamed: 0.1,artist,track,position,date,lyrics
184,441,4123,Arrested Development,Revolution,24,1992-12-26,
185,442,4124,Success-N-Effect,Ultimate Drive-By,25,1992-12-26,
186,443,4167,Lighter Shade Of Brown,Homies,18,1993-01-09,
187,446,4199,Heavy D & The Boyz,Who's The Man?,25,1993-01-16,
188,448,4221,Nasty Nas,Half Time,22,1993-01-23,
189,449,4223,Rough House Survivers,Check Da Backpack,24,1993-01-23,
190,450,4224,Shabba Ranks,Ting-A-Ling,25,1993-01-23,
191,452,4271,XClan,A.D.A.M.,22,1993-02-06,
192,453,4272,Y'all So Stupid,85 South,23,1993-02-06,
193,454,4273,Onyx,Throw Your Gunz,24,1993-02-06,
194,462,4322,C.E.B.,Get The Point,23,1993-02-20,
195,472,4397,Common Sense,Breaker 1/9,23,1993-03-13,
196,473,4398,Shawnie Ranks,Gettin It On,24,1993-03-13,
197,474,4416,Diamond & Psychotic Neurotics,Sally Got A One Track Mind,17,1993-03-20,
198,480,4449,Prince Markie Dee & Soul Convention,Typical Reasons,25,1993-03-27,
199,484,4495,Runaway Slaves,Booty Mission,21,1993-04-10,
200,485,4497,Kilo,Tick Tock,23,1993-04-10,
201,486,4499,The Flavor Unit MC's,Roll Wit Tha Flavor,25,1993-04-10,
202,487,4522,Wreckx-N-Effect,Wreckx Shop,23,1993-04-17,
203,488,4524,Trends Of Culture,Off & On,25,1993-04-17,
204,489,4549,Boss,Deeper,25,1993-04-24,
205,494,4596,Kenny Dope,Gunshot,22,1993-05-08,
206,502,4649,Intelligent Hoodlum,The Posse (Shoot'Em Up),25,1993-05-22,
207,506,4699,Shabba Ranks/Queen Latifah,What'Cha Gonna Do?,25,1993-06-05,
208,508,4724,Yo-Yo,Bonnie & Clyde/IBWin' Wit My Crewin',25,1993-06-12,
209,513,4772,Jungle Brothers,40 Below Trooper/All I Think...,23,1993-06-26,
210,515,4774,Lin Que,This Is It/Rip It Up,25,1993-06-26,
211,521,4823,General Grant,D-Shot Call,24,1993-07-10,
212,525,4870,Trique-Dik-Slik,Euphoria,21,1993-07-24,
213,526,4873,Luke,Work It Out,24,1993-07-24,
214,527,4874,Knucklehedz,All She Wanted/Hed Rush,25,1993-07-24,
215,530,4899,Intelligent Hoodlum,Grand Groove/At Large,25,1993-07-31,
216,531,4917,Kris Kross Featuring Supercat,Alright,18,1993-08-07,
217,532,4920,Ice Cube Featuring Das EFX,Check Yo Self,21,1993-08-07,
218,535,4948,Boss,Recipe Of A Hoe,24,1993-08-14,
219,538,4971,Fu-Schnickens W/ Shaquille O'Neal,What's Up Doc?,22,1993-08-21,
220,539,4972,Poizon Posse,This Is It Y'All,23,1993-08-21,
221,540,4973,Rumpletilskinz,Attitudes,24,1993-08-21,
222,541,4991,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson",Very Special/Stop Shammin',17,1993-08-28,
223,546,5023,Trends Of Culture,Valley Of The Skinz,24,1993-09-04,
224,547,5044,Hoodratz,Bootlegga,20,1993-09-11,
225,549,5047,Jazzy Jeff & The Fresh Prince,Boom! Shake The Room,23,1993-09-11,
226,551,5070,Common Sense,Soul By The Pound,21,1993-09-18,
227,552,5074,Da Youngsta's,Iz U Wit Me,25,1993-09-18,
228,555,5122,Rumble,Safe/Booyaka! Booyaka!,23,1993-10-02,
229,560,5147,Private Investigators,Mash Up The Mic,23,1993-10-09,
230,563,5173,Poison Clan,Don't Sleep On A Hizzo,24,1993-10-16,
231,564,5194,Nikki D,Freak Out,20,1993-10-23,
232,570,5220,Dred Scott,Nutin' Ta Lose,21,1993-10-30,
233,571,5221,Hi-C,Got It Like That,22,1993-10-30,
234,572,5224,Black Maddness,Wild Brooklyn Bandits,25,1993-10-30,
235,574,5268,Kris Kross,I'm Real,19,1993-11-13,
236,576,5270,ED O.G & DA Bulldogs,Skinny Dip (Got It Goin' On),21,1993-11-13,
237,583,5299,Father,69,25,1993-11-20,
238,584,5318,M.C. Breed,Tight,19,1993-11-27,
239,585,5320,Patra (Featuring Lyn Collins),Think (About It),21,1993-11-27,
240,586,5323,Rumpletilskinz,Is It Alright?,24,1993-11-27,
241,591,5335,MC Ren,Same Ol' Shit,11,1993-12-04,
242,594,5347,12 Gauge,Dunkie Butt (Please Please Please),23,1993-12-04,
