3677,Prince Markie Dee & Soul Convention
3678,Nice & Smooth
3697,Super Cat
3700,Lords Of The Underground
3701,Kris Kross
3702,House Of Pain
3723,Compton's Most Wanted
3724,Yo-Yo
3725,EPMD
3745,Lords Of The Underground
3771,Common Sense
3772,M.C. Breed
3774,Home Team
3797,BDP
3798,The College Boyz
3820,Brand Nubian
3821,Lords Of The Underground
3841,Grand Puba
3843,Arrested Development
3846,Public Enemy
3869,Fu-Schnickens
3886,Cypress Hill
3888,EPMD
3889,Grand Puba
3892,Miles Davis
3893,South Central Cartel
3894,Too $hort
3912,Digable Planets
3913,Showbiz & A.G.
3917,Cypress Hill
3939,South Central Cartel
3942,Success-N-Effect
3984,Lighter Shade Of Brown
3989,Success-N-Effect
4008,Young Black Teenagers
4009,Apache
4015,Heavy D & The Boyz
4028,Arrested Development
4037,Nasty Nas
4039,Rough House Survivers
4040,Shabba Ranks
4065,Da Lench Mob
4087,XClan
4088,Y'all So Stupid
4089,Onyx
4090,Paperboy
4104,Dr. Dre
4106,Naughty By Nature
4111,Chubb Rock
4112,Grand Puba
4115,Heather B.
4133,Chaka Demus & Pliers
4138,C.E.B.
4139,Kris Kross
4140,Redman
4164,Zhigge
4165,Above The Law
4189,Da King & I
4190,Louie Rankin
4209,Chi-Ali
4210,Lords Of The Underground
4211,Geto Boys
4213,Common Sense
4214,Shawnie Ranks
4232,Da King & I
4236,Common Sense
4254,Monie Love
4260,Grand Puba
4262,Kam
4263,Prince Markie Dee & Soul Convention
4284,Kam
4287,Heavy D & The Boyz
4305,Brand Nubian
4307,Runaway Slaves
4308,Snow
4310,Chaka Demus & Pliers
4329,Runaway Slaves
4333,Trends Of Culture
4356,Boss
4375,Onyx
4377,Pete Rock & C.L. Smooth
4378,C.E.B.
4399,Geto Boys
4401,Kenny Dope
4402,Onyx
4424,Brand Nubian
4426,Geto Boys
4427,Super Cat
4428,Digable Planets
4447,Showbiz & A.G.
4450,Digable Planets
4451,Dr. Dre
4475,Mobb Deep
4476,Spice 1
4497,Onyx
4498,Ice Cube
4519,Mobb Deep
4524,Yo-Yo
4541,Yo-Yo
4542,Mobb Deep
4544,Positive K
4548,Ice Cube
4569,Rodney O & Joe Cooley
4571,Tag Team
4572,Lin Que
4593,Lin Que
4596,LL Cool J
4597,Redman
4613,MC Lyte
4618,Cypress Hill
4620,Lords Of The Underground
4621,General Grant
4642,Biz Markie
4646,2Pac
4647,Kool G Rap & D.J. Polo
4668,Trique-Dik-Slik
4671,Luke
4672,Knucklehedz
4695,M.C. Breed
4696,Souls Of Mischief
4697,Intelligent Hoodlum
4715,Kris Kross Featuring Supercat
4718,Ice Cube Featuring Das EFX
4720,Scarface
4742,Mista Grimm
4746,Boss
4747,Fat Joe
4768,Wu-Tang Clan
4769,Poizon Posse
4770,Rumpletilskinz
4771,Rodney O & Joe Cooley
4788,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson"
4794,Young Black Teenagers
4795,Biz Markie
4811,Funkdoobiest
4815,The Almighty RSO
4819,Trends Of Culture
4840,Hoodratz
4841,Run-D.M.C.
4843,Jazzy Jeff & The Fresh Prince
4844,Threat
4866,Common Sense
4870,Da Youngsta's
4893,Onyx
4894,Leaders Of The New School
4918,Rumble
4919,Tha Alkaholiks
4937,Erick Sermon
4941,De La Soul
4942,Dr. Dre
4943,Private Investigators
4944,KRS-One
4965,George Clinton
4969,Poison Clan
4990,Nikki D
4991,Salt-N-Pepa
4994,Souls Of Mischief
4995,Digable Planets
5014,Biz Markie
5015,Yo-Yo
5016,Dred Scott
5017,Hi-C
5020,Black Maddness
5044,Casual
5064,Kris Kross
5065,Shaquille O'Neal
5066,ED O.G & DA Bulldogs
5067,Daddy-O
5077,Eazy-E
5086,A Tribe Called Quest
5091,Das EFX
5093,2Pac
5094,LL Cool J
5095,Father
5114,M.C. Breed
5116,Patra (Featuring Lyn Collins)
5119,Rumpletilskinz
5120,Scarface
5128,Queen Latifah
5129,Domino
5130,K7
5131,MC Ren
5137,Too $hort
5141,Jeru The Damaja
5143,12 Gauge
5144,Rakim
5145,Lords Of The Underground
5148,Ice Cube
5163,Jazzy Jeff & The Fresh Prince
5166,Born Jamericans
5175,Snoop Dogg
5242,KRS-One
5243,US 3
5244,Shabba Ranks
5291,Cypress Hill
5322,Salt-N-Pepa Featuring En Vogue
5365,Too $hort
5367,Raheem The Dream
5368,K7
5375,M.C. Hammer
5380,OutKast
5382,Snoop Dogg
5410,Ice Cube
5413,Shaquille O'Neal
5414,Gang Starr
5438,DFC (Duet With MC Eiht)
5442,Wu-Tang Clan
5464,Shyheim
5466,Lighter Shade Of Brown
5469,Nas
5481,Queen Latifah
5492,Masta Ace Incorporated
5493,MeShell Ndegeocello
5495,Kris Kross
5507,The Conscious Daughters
5508,A Tribe Called Quest
5512,M.C. Hammer
5517,Sudden Change
5534,Heavy D & The Boyz
5562,Simple E
5592,Domino
5594,2Pac Duet With Mopreme
5610,South Central Cartel
5619,Black Moon
5645,Patra
5668,Illegal
5684,Warren G & Nate Dogg
5718,Smif-N-Wessun
5739,The Crooklyn Dodgers
5742,Jeru The Damaja
5758,Arrested Development
5766,Tag Team
5769,Coolio
5773,Da Brat
5793,E-40
5812,69 Boyz
5820,Fugees
5843,A Tribe Called Quest
5869,Volume 10
5884,Nice & Smooth
5887,The Puppies
5890,Ill Al Skratch
5894,King Just
5903,Gravediggaz
5909,OutKast
5918,Mad Lion
5919,Heavy D & The Boyz
5933,Public Enemy
5978,Warren G
5980,Ice Cube Featuring George Clinton
5994,Wu-Tang Clan
6017,Queen Latifah
6029,Craig Mack
6037,The Lady Of Rage
6040,Patra Featuring Yo-Yo
6042,Terror Fabulous Featuring Nadine Sutherland
6044,Boogiemonsters
6076,The Notorious B.I.G.
6094,Bone Thugs-N-Harmony
6095,"Sam ""The Beast"""
6115,PMD
6143,Mic Geronimo
6145,Gang Starr
6165,Salt-N-Pepa
6167,Rappin' 4-Tay
6169,Ill Al Skratch Featuring Brian McKnight
6170,Da Youngsta's
6190,Pete Rock & C.L. Smooth
6195,The Roots
